Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,ETF
300832,SHENZHEN NEW INDUSTRIES BIOMEDICAL,Health Care,Equity,"5,984.25",0,"5,984.25",900,6.65,China,Shenzhen Stock Exchange,USD,6.82,AQLT
IDR,IDR CASH,Cash and/or Derivatives,Cash,"5,891.26",0,"5,891.26","101,152,976.00",0.01,Indonesia,--,USD,"17,170.00",AQLT
688188,SHANGHAI FRIENDESS ELECTRONICS TEC,Information Technology,Equity,"5,892.51",0,"5,892.51",280,21.04,China,Shanghai Stock Exchange,USD,6.82,AQLT
600660,FUYAO GLASS INDUSTRY GROUP LTD A,Consumer Discretionary,Equity,"5,294.69",0,"5,294.69",600,8.82,China,Shanghai Stock Exchange,USD,6.82,AQLT
300866,ANKER INNOVATIONS TECHNOLOGY LTD A,Information Technology,Equity,"5,149.03",0,"5,149.03",300,17.16,China,Shenzhen Stock Exchange,USD,6.82,AQLT
NOK,NOK CASH,Cash and/or Derivatives,Cash,"4,975.24",0,"4,975.24","46,441.00",10.71,Norway,--,USD,9.33,AQLT
000975,SHANJIN INTERNATIONAL GOLD LTD A,Materials,Equity,"4,900.26",0,"4,900.26","1,100.00",4.45,China,Shenzhen Stock Exchange,USD,6.82,AQLT
601100,JIANGSU HENGLI HYDRAULIC LTD A,Industrials,Equity,"4,546.60",0,"4,546.60",300,15.16,China,Shanghai Stock Exchange,USD,6.82,AQLT
600845,SHANGHAI BAOSIGHT SOFTWARE LTD A,Information Technology,Equity,"4,016.78",0,"4,016.78","1,200.00",3.35,China,Shanghai Stock Exchange,USD,6.82,AQLT
BRL,BRL CASH,Cash and/or Derivatives,Cash,"3,599.78",0,"3,599.78","17,944.00",20.06,Brazil,--,USD,4.98,AQLT
300896,IMEIK TECHNOLOGY DEVELOPMENT LTD A,Health Care,Equity,"3,371.08",0,"3,371.08",200,16.86,China,Shenzhen Stock Exchange,USD,6.82,AQLT
002920,HUIZHOU DESAY SV AUTOMOTIVE LTD A,Consumer Discretionary,Equity,"3,136.68",0,"3,136.68",200,15.68,China,Shenzhen Stock Exchange,USD,6.82,AQLT
000596,ANHUI GUJING DISTILLERY LTD A,Consumer Staples,Equity,"3,109.69",0,"3,109.69",200,15.55,China,Shenzhen Stock Exchange,USD,6.82,AQLT
603195,GONEO GROUP LTD A,Industrials,Equity,"3,046.62",0,"3,046.62",500,6.09,China,Shanghai Stock Exchange,USD,6.82,AQLT
CAD,CAD CASH,Cash and/or Derivatives,Cash,"2,913.19",0,"2,913.19","3,980.00",73.19,Canada,--,USD,1.37,AQLT
002555,37 INTERACTIVE ENTERTAINMENT NETWO,Communication,Equity,"2,884.53",0,"2,884.53",900,3.21,China,Shenzhen Stock Exchange,USD,6.82,AQLT
688578,SHANGHAI ALLIST PHARMACEUTICALS LT,Health Care,Equity,"2,827.76",0,"2,827.76",200,14.14,China,Shanghai Stock Exchange,USD,6.82,AQLT
600406,NARI TECHNOLOGY LTD A,Industrials,Equity,"2,796.96",0,"2,796.96",700,4,China,Shanghai Stock Exchange,USD,6.82,AQLT
NZD,NZD CASH,Cash and/or Derivatives,Cash,"2,664.44",0,"2,664.44","4,528.00",58.84,New Zealand,--,USD,1.7,AQLT
000999,CHINA RESOURCES SANJIU MEDICAL AND,Health Care,Equity,"2,544.99",0,"2,544.99",630,4.04,China,Shenzhen Stock Exchange,USD,6.82,AQLT
002001,ZHEJIANG NHU LTD A,Materials,Equity,"2,515.62",0,"2,515.62",500,5.03,China,Shenzhen Stock Exchange,USD,6.82,AQLT
603568,ZHEJIANG WEIMING ENVIRONMENT PROTE,Industrials,Equity,"2,183.97",0,"2,183.97",700,3.12,China,Shanghai Stock Exchange,USD,6.82,AQLT
TRY,TRY CASH,Cash and/or Derivatives,Cash,"1,797.58",0,"1,797.58","80,663.00",2.23,Turkey,--,USD,44.87,AQLT
603369,JIANGSU KINGS LUCK BREWERY LTD A,Consumer Staples,Equity,"1,788.00",0,"1,788.00",471,3.8,China,Shanghai Stock Exchange,USD,6.82,AQLT
HKD,HKD CASH,Cash and/or Derivatives,Cash,"1,296.81",0,"1,296.81","10,155.00",12.77,Hong Kong,--,USD,7.83,AQLT
INR,INR CASH,Cash and/or Derivatives,Cash,894.3,0,894.3,"83,270.00",1.07,India,--,USD,93.11,AQLT
SGD,SGD CASH,Cash and/or Derivatives,Cash,765.49,0,765.49,973,78.69,Singapore,--,USD,1.27,AQLT
MYR,MYR CASH,Cash and/or Derivatives,Cash,637.37,0,637.37,"2,520.00",25.3,Malaysia,--,USD,3.95,AQLT
CNH,CNH CASH,Cash and/or Derivatives,Cash,608.16,0,608.16,"4,146.00",14.67,China,--,USD,6.82,AQLT
PHP,PHP CASH,Cash and/or Derivatives,Cash,453.48,0,453.48,"27,193.00",1.67,Philippines,--,USD,59.97,AQLT
002517,KINGNET NETWORK LTD A,Communication,Equity,216.34,0,216.34,83,2.61,China,Shenzhen Stock Exchange,USD,6.82,AQLT
PLN,PLN CASH,Cash and/or Derivatives,Cash,52.22,0,52.22,188,27.81,Poland,--,USD,3.6,AQLT
ILS,ILS CASH,Cash and/or Derivatives,Cash,12.33,0,12.33,37,33.46,Israel,--,USD,2.99,AQLT
HUF,HUF CASH,Cash and/or Derivatives,Cash,14.29,0,14.29,"4,403.00",0.32,Hungary,--,USD,308.19,AQLT
KRW,KRW/USD,Cash and/or Derivatives,FX,14.2,0,14.2,"6,523,749.00",1,United States,--,USD,"1,477.30",AQLT
TWD,TWD/USD,Cash and/or Derivatives,FX,-1.95,0,-1.95,"1,324,716.00",1,United States,--,USD,31.49,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-1.39,0,-1.39,"15,949.00",1,United States,--,USD,3.75,AQLT
AED,AED/USD,Cash and/or Derivatives,FX,-1.04,0,-1.04,"7,723.00",1,United States,--,USD,3.67,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-0.66,0,-0.66,"7,575.00",1,United States,--,USD,3.75,AQLT
AED,AED/USD,Cash and/or Derivatives,FX,-0.45,0,-0.45,"3,326.00",1,United States,--,USD,3.67,AQLT
JPY,JPY/USD,Cash and/or Derivatives,FX,-0.4,0,-0.4,"10,010,545.00",1,United States,--,USD,158.75,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-0.26,0,-0.26,"2,994.00",1,United States,--,USD,3.75,AQLT
AED,AED/USD,Cash and/or Derivatives,FX,-0.25,0,-0.25,"1,884.00",1,United States,--,USD,3.67,AQLT
AED,AED/USD,Cash and/or Derivatives,FX,-0.24,0,-0.24,"1,783.00",1,United States,--,USD,3.67,AQLT
AED,AED/USD,Cash and/or Derivatives,FX,-0.23,0,-0.23,"1,700.00",1,United States,--,USD,3.67,AQLT
EGP,EGP/USD,Cash and/or Derivatives,FX,-0.23,0,-0.23,"4,763.00",1,United States,--,USD,51.95,AQLT
AED,AED/USD,Cash and/or Derivatives,FX,-0.16,0,-0.16,"1,175.00",1,United States,--,USD,3.67,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-0.16,0,-0.16,"1,776.00",1,United States,--,USD,3.75,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-0.13,0,-0.13,"1,459.00",1,United States,--,USD,3.75,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-0.09,0,-0.09,"1,043.00",1,United States,--,USD,3.75,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-0.08,0,-0.08,910,1,United States,--,USD,3.75,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-0.06,0,-0.06,667,1,United States,--,USD,3.75,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-0.06,0,-0.06,645,1,United States,--,USD,3.75,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-0.06,0,-0.06,665,1,United States,--,USD,3.75,AQLT
SAR,SAR/USD,Cash and/or Derivatives,FX,-0.05,0,-0.05,583,1,United States,--,USD,3.75,AQLT
MYR,MYR/USD,Cash and/or Derivatives,FX,0.06,0,0.06,780,1,United States,--,USD,3.95,AQLT
PHP,PHP/USD,Cash and/or Derivatives,FX,0.3,0,0.3,"12,920.00",1,United States,--,USD,59.97,AQLT
MZTM6,MICRO EURO STOXX JUN 26,Cash and/or Derivatives,Futures,0,0,"118,708.51",17,"6,982.85",--,Eurex Deutschland,USD,0.85,AQLT
HWAM6,MICRO EMINI S&P 500 JUN 26,Cash and/or Derivatives,Futures,0,0,"464,620.00",13,"7,148.00",--,Index And Options Market,USD,1,AQLT
BRL,BRL/USD,Cash and/or Derivatives,FX,-16,0,-16,"58,471.00",1,United States,--,USD,4.98,AQLT
EGP,EGP CASH,Cash and/or Derivatives,Cash,-91.68,0,-91.68,"-4,763.00",1.92,Egypt,--,USD,51.95,AQLT
KRW,KRW CASH,Cash and/or Derivatives,Cash,-420.35,0,-420.35,"-620,962.00",0.07,Korea (South),--,USD,"1,477.25",AQLT
SAR,SAR CASH(COMMITTED),Cash and/or Derivatives,Cash,"-7,700.70",0,"-7,700.70","-28,885.00",26.66,Saudi Arabia,--,USD,3.75,AQLT
JPY,JPY CASH,Cash and/or Derivatives,Cash,"-20,600.21",-0.01,"-20,600.21","-3,270,180.00",0.63,Japan,--,USD,158.75,AQLT
TWD,TWD CASH,Cash and/or Derivatives,Cash,"-33,726.40",-0.01,"-33,726.40","-1,061,825.00",3.18,Taiwan,--,USD,31.48,AQLT
