Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date,ETF
STORY B,STORYTEL CLASS B,Communication,Equity,"3,145,483.61",0,"3,145,483.61","274,057.00",11.48,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
ISRS,ISRAS INVESTMENT COMPANY LTD,Real Estate,Equity,"3,146,593.91",0,"3,146,593.91","11,178.00",281.5,Israel,Tel Aviv Stock Exchange,USD,2.99,--,IEFA
8C8U,CENTURION ACCOMMODATION REIT UNITS,Real Estate,Equity,"3,152,038.40",0,"3,152,038.40","3,608,800.00",0.87,Singapore,Singapore Exchange,USD,1.27,--,IEFA
DNYA,DANYA CEBUS LTD,Industrials,Equity,"3,123,246.97",0,"3,123,246.97","55,634.00",56.14,Israel,Tel Aviv Stock Exchange,USD,2.99,--,IEFA
2695,KURA SUSHI INC,Consumer Discretionary,Equity,"3,105,395.45",0,"3,105,395.45","137,700.00",22.55,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
1968,TAIHEI DENGYO LTD,Industrials,Equity,"3,107,776.62",0,"3,107,776.62","171,300.00",18.14,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
6866,HIOKI EE CORP,Information Technology,Equity,"3,110,838.14",0,"3,110,838.14","46,500.00",66.9,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
2767,TSUBURAYA FIELDS HOLDINGS INC,Consumer Discretionary,Equity,"3,083,421.84",0,"3,083,421.84","331,400.00",9.3,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
WAVE,WAVESTONE SA,Information Technology,Equity,"3,073,408.22",0,"3,073,408.22","53,722.00",57.21,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
OCI,OCI NV,Materials,Equity,"3,076,623.08",0,"3,076,623.08","739,146.00",4.16,Netherlands,Euronext Amsterdam,USD,0.85,--,IEFA
4534,MOCHIDA PHARMACEUTICAL LTD,Health Care,Equity,"3,033,752.24",0,"3,033,752.24","134,900.00",22.49,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
IBI,I B I INVESTMENT LTD,Financials,Equity,"3,041,944.50",0,"3,041,944.50","23,921.00",127.17,Israel,Tel Aviv Stock Exchange,USD,2.99,--,IEFA
