Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,ETF
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"1,111,082,557.34",2.23,"1,111,082,557.34","3,292,877.00",337.42,United States,NASDAQ,USD,1.00,QUAL
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"1,053,056,109.84",2.11,"1,053,056,109.84","2,230,673.00",472.08,United States,NYSE,USD,1.00,QUAL
NFLX,NETFLIX INC,Communication,Equity,"1,009,849,601.16",2.03,"1,009,849,601.16","10,649,052.00",94.83,United States,NASDAQ,USD,1.00,QUAL
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"964,163,318.44",1.93,"964,163,318.44","4,179,476.00",230.69,United States,NYSE,USD,1.00,QUAL
GOOG,ALPHABET INC CLASS C,Communication,Equity,"927,858,274.20",1.86,"927,858,274.20","2,766,423.00",335.40,United States,NASDAQ,USD,1.00,QUAL
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"717,590,482.20",1.44,"717,590,482.20","4,300,812.00",166.85,United States,NYSE,USD,1.00,QUAL
SLB,SLB NV,Energy,Equity,"716,120,002.80",1.44,"716,120,002.80","13,718,774.00",52.20,United States,NYSE,USD,1.00,QUAL
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"644,606,635.68",1.29,"644,606,635.68","646,002.00",997.84,United States,NASDAQ,USD,1.00,QUAL
ADBE,ADOBE INC,Information Technology,Equity,"600,474,020.53",1.20,"600,474,020.53","2,415,131.00",248.63,United States,NASDAQ,USD,1.00,QUAL
WMT,WALMART INC,Consumer Staples,Equity,"596,983,068.24",1.20,"596,983,068.24","4,666,847.00",127.92,United States,NASDAQ,USD,1.00,QUAL
ATO,ATMOS ENERGY CORP,Utilities,Equity,"591,139,273.89",1.19,"591,139,273.89","3,174,243.00",186.23,United States,NYSE,USD,1.00,QUAL
MRK,MERCK & CO INC,Health Care,Equity,"578,305,727.30",1.16,"578,305,727.30","4,938,563.00",117.10,United States,NYSE,USD,1.00,QUAL
