Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,ETF
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"9,699,361.68",0.06,"9,699,361.68","159,032.00",60.99,United States,NYSE,USD,1.00,IWY
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"9,303,449.46",0.06,"9,303,449.46","9,879.00",941.74,United States,NYSE,USD,1.00,IWY
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"9,304,268.50",0.06,"9,304,268.50","94,030.00",98.95,United States,NASDAQ,USD,1.00,IWY
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"8,495,280.00",0.05,"8,495,280.00","91,200.00",93.15,United States,NYSE,USD,1.00,IWY
MMM,3M,Industrials,Equity,"8,119,430.60",0.05,"8,119,430.60","53,629.00",151.40,United States,NYSE,USD,1.00,IWY
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"7,754,225.22",0.05,"7,754,225.22","25,263.00",306.94,United States,NYSE,USD,1.00,IWY
TDG,TRANSDIGM GROUP INC,Industrials,Equity,"7,696,155.56",0.05,"7,696,155.56","6,038.00","1,274.62",United States,NYSE,USD,1.00,IWY
UNP,UNION PACIFIC CORP,Industrials,Equity,"7,440,570.90",0.05,"7,440,570.90","29,505.00",252.18,United States,NYSE,USD,1.00,IWY
TEAM,ATLASSIAN CORP CLASS A,Information Technology,Equity,"7,408,902.00",0.05,"7,408,902.00","103,650.00",71.48,United States,NASDAQ,USD,1.00,IWY
KMB,KIMBERLY CLARK CORP,Consumer Staples,Equity,"7,370,594.92",0.05,"7,370,594.92","74,798.00",98.54,United States,NASDAQ,USD,1.00,IWY
MRSH,MARSH INC,Financials,Equity,"6,285,065.41",0.04,"6,285,065.41","35,999.00",174.59,United States,NYSE,USD,1.00,IWY
FISV,FISERV INC,Financials,Equity,"5,926,984.98",0.04,"5,926,984.98","92,407.00",64.14,United States,NASDAQ,USD,1.00,IWY
AZO,AUTOZONE INC,Consumer Discretionary,Equity,"5,860,970.00",0.04,"5,860,970.00","1,636.00","3,582.50",United States,NYSE,USD,1.00,IWY
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,"5,458,400.64",0.03,"5,458,400.64","36,921.00",147.84,United States,NASDAQ,USD,1.00,IWY
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,"5,455,250.40",0.03,"5,455,250.40","26,710.00",204.24,United States,NYSE,USD,1.00,IWY
PSA,PUBLIC STORAGE REIT,Real Estate,Equity,"4,022,310.45",0.02,"4,022,310.45","12,885.00",312.17,United States,NYSE,USD,1.00,IWY
BAM,BROOKFIELD ASSET MANAGEMENT VOTING,Financials,Equity,"4,013,271.00",0.02,"4,013,271.00","81,820.00",49.05,Canada,NYSE,USD,1.00,IWY
SLB,SLB NV,Energy,Equity,"3,839,153.40",0.02,"3,839,153.40","73,547.00",52.20,United States,NYSE,USD,1.00,IWY
PGR,PROGRESSIVE CORP,Financials,Equity,"3,717,966.10",0.02,"3,717,966.10","18,245.00",203.78,United States,NYSE,USD,1.00,IWY
CI,CIGNA,Health Care,Equity,"3,626,643.52",0.02,"3,626,643.52","12,956.00",279.92,United States,NYSE,USD,1.00,IWY
USD,USD CASH,Cash and/or Derivatives,Cash,"3,049,716.41",0.02,"3,049,716.41","3,049,716.00",100.00,United States,--,USD,1.00,IWY
WMB,WILLIAMS INC,Energy,Equity,"2,946,381.41",0.02,"2,946,381.41","41,551.00",70.91,United States,NYSE,USD,1.00,IWY
JPFFT,CASH COLLATERAL USD JPFFT,Cash and/or Derivatives,Cash Collateral and Margins,"2,488,000.00",0.02,"2,488,000.00","2,488,000.00",100.00,United States,--,USD,1.00,IWY
AJG,ARTHUR J GALLAGHER,Financials,Equity,"2,232,707.63",0.01,"2,232,707.63","10,009.00",223.07,United States,NYSE,USD,1.00,IWY
MSTR,STRATEGY INC CLASS A,Information Technology,Equity,"1,844,748.00",0.01,"1,844,748.00","10,800.00",170.81,United States,NASDAQ,USD,1.00,IWY
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Financials,Equity,"1,181,700.00",0.01,"1,181,700.00","14,544.00",81.25,United States,NASDAQ,USD,1.00,IWY
RGYM6,RUSSELL1000 GRWTH MINI CME JUN 26,Cash and/or Derivatives,Futures,0.00,0.00,"31,732,800.00",132.00,"4,808.00",--,Chicago Mercantile Exchange,USD,1.00,IWY
